ATB ID,solvent,value,error_estimate,formula,inchi
3180,hexane,-18.54,1.3,C2H5Br,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3"
3181,water,-5.5,0.9,C3H7Br,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3"
3181,hexane,-21.2,1.15,C3H7Br,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3"
3182,water,-5.41,0.44,C3H7Br,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3"
3182,hexane,-20.14,1.23,C3H7Br,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3"
3186,water,-4.44,0.7,C5H11Br,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3"
3186,hexane,-27.41,0.75,C5H11Br,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3"
3187,water,-5.57,0.88,C3H5Br,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2"
3187,hexane,-20.59,1.38,C3H5Br,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2"
3188,water,-6.94,0.42,C6H5Br,"InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H"
3188,hexane,-28.82,1.14,C6H5Br,"InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H"
3189,water,-7.03,0.49,C7H7Br,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3"
3189,hexane,-31.24,0.81,C7H7Br,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3"
3199,water,-22.12,1.21,C10H22O,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
3199,hexane,-32.28,1.03,C10H22O,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
3200,water,-31.5,1.02,C6H5BrO,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
3200,hexane,-32.65,1.32,C6H5BrO,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
3348,water,-0.2,0.68,C9H12,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3"
3349,water,-1.67,0.53,C9H12,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3"
3596,water,-25.14,0.89,C7H9N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3"
3596,hexane,-27.41,1.14,C7H9N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3"
3613,water,-9.13,0.96,H2S,"InChI=1S/H2S/h1H2"
3613,hexane,-4.81,0.56,H2S,"InChI=1S/H2S/h1H2"
3619,water,-21.74,0.92,C6H7N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
3619,hexane,-19.37,1.29,C6H7N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
3791,water,-6.74,0.73,CH3Cl,"InChI=1S/CH3Cl/c1-2/h1H3"
3793,water,-3.83,1.22,C5H11Cl,"InChI=1S/C5H11Cl/c1-3-4-5(2)6/h5H,3-4H2,1-2H3/t5-/m1/s1"
3794,water,-5.05,1.11,C6H2Cl4,"InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H"
3795,water,-2.33,1.31,C6H2Cl4,"InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)5(9)2-3/h1-2H"
3797,water,-3.95,0.88,C6H2Cl4,"InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H"
3798,water,-4.72,0.96,C6H3Cl3,"InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H"
3799,water,-1.75,1.18,C6H3Cl3,"InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H"
3800,water,2.13,1.12,CCl4,"InChI=1S/CCl4/c2-1(3,4)5"
3801,water,-8.79,0.77,C3H6Cl2,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3/t3-/m0/s1"
3802,water,-3.72,1.15,C6H4Cl2,"InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H"
3804,water,-13.66,1.28,C4H8Cl2,"InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2"
3805,water,1.71,0.97,C4H9Cl,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3"
3808,water,-4.09,0.98,C4H9Cl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3"
3809,water,-3.82,1.12,C5H11Cl,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3"
3810,water,-3.27,1.24,C6H13Cl,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3"
3811,water,-2.58,1.23,C7H15Cl,"InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
3813,water,-6.01,1.15,C6H3Cl3,"InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H"
3855,water,-12.98,1.45,C12H7ClO2,"InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H"
3856,water,-14.34,1.43,C12H6Cl2O2,"InChI=1S/C12H6Cl2O2/c13-7-5-11-12(6-8(7)14)16-10-4-2-1-3-9(10)15-11/h1-6H"
3857,water,-15.61,0.82,C12H5Cl3O2,"InChI=1S/C12H5Cl3O2/c13-6-5-7(14)11-12(10(6)15)17-9-4-2-1-3-8(9)16-11/h1-5H"
4026,water,-23.71,1.5,C6H5FO,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
4027,water,15.13,1.22,C2F6,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8"
4028,water,18.22,0.99,C3F8,"InChI=1S/C3F8/c4-1(5,2(6,7)8)3(9,10)11"
4054,water,-3.42,1.07,C6H13Br,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3"
4055,water,-2.68,1.12,C7H15Br,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
4056,water,-3.19,1.42,C8H17Br,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3"
4057,water,-1.64,0.54,C4H9Br,"InChI=1S/C4H9Br/c1-4(2,3)5/h1-3H3"
4059,water,-5.6,0.88,C4H9Br,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3"
4059,hexane,-22.86,0.78,C4H9Br,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3"
4389,water,-43.19,0.71,C3H4N2,"InChI=1S/C3H5N2/c1-2-5-3-4-1/h1,3,5H,2H2"
4621,water,-16.99,0.99,C2H3F3O,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2"
4621,hexane,-13.21,1.13,C2H3F3O,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2"
4982,water,-58.59,1.24,C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)"
5441,water,-29.97,1.26,C7H8O,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2"
6187,water,-11.69,0.93,C3H2F6O,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H"
6274,water,7.6,0.91,C8H16,"InChI=1S/C8H16/c1-2-5-8-6-3-4-7-8/h8H,2-7H2,1H3"
6490,water,-8.24,0.77,C2H6S2,"InChI=1S/C2H6S2/c1-3-4-2/h1-2H3"
6490,hexane,-19.19,1.24,C2H6S2,"InChI=1S/C2H6S2/c1-3-4-2/h1-2H3"
6545,water,-7.46,1.38,C4H10S2,"InChI=1S/C4H10S2/c1-3-5-6-4-2/h3-4H2,1-2H3"
6545,hexane,-24.71,0.75,C4H10S2,"InChI=1S/C4H10S2/c1-3-5-6-4-2/h3-4H2,1-2H3"
6548,water,-49.59,0.97,C14H11Cl2NO2,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)"
7233,water,-16.12,1.28,C16H10,"InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H"
7234,water,-7.31,1.17,C2H6S,"InChI=1S/C2H6S/c1-3-2/h1-2H3"
7234,hexane,-12.24,1.24,C2H6S,"InChI=1S/C2H6S/c1-3-2/h1-2H3"
7272,water,12.19,1.36,C9H20,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3"
7272,hexane,-25.77,0.93,C9H20,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3"
7502,water,-0.96,0.87,C2HBrClF3,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m0/s1"
7956,water,-22.7,1.28,C6H12O3,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3"
7957,water,-38.29,1.21,C3H6N2O6,"InChI=1S/C3H6N2O6/c6-4(7)10-2-1-3-11-5(8)9/h1-3H2"
7958,water,-34.03,1.46,C4H8N2O6,"InChI=1S/C4H8N2O6/c1-4(12-6(9)10)2-3-11-5(7)8/h4H,2-3H2,1H3/t4-/m0/s1"
7959,water,-13.73,1.16,C6H13NO3,"InChI=1S/C6H13NO3/c1-2-3-4-5-6-10-7(8)9/h2-6H2,1H3"
7962,water,-29.95,1.22,C6H4Cl2O,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H"
7963,water,-41.6,1.28,C8H10O3,"InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3"
7965,water,-19.37,0.91,C7H6O2,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H"
7966,water,-21.55,0.6,C8H10O,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3"
7969,water,-1.92,0.53,C9H12,"InChI=1S/C9H12/c1-3-9-7-5-4-6-8(9)2/h4-7H,3H2,1-2H3"
7982,water,-11.17,1.42,C12H10O,"InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H"
8018,water,-10.85,1.22,C12H20O2,"InChI=1S/C12H20O2/c1-6-12(5,14-11(4)13)9-7-8-10(2)3/h6,8H,1,7,9H2,2-5H3/t12-/m0/s1"
8019,water,-19.32,1.29,C10H18O,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-"
8021,water,-26.42,1.48,C8H10O2,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3"
8026,water,-35.72,1.34,C8H8Cl2O3,"InChI=1S/C8H8Cl2O3/c1-12-7-4(9)3-5(10)8(13-2)6(7)11/h3,11H,1-2H3"
8027,water,-45.03,1.47,C9H9ClO4,"InChI=1S/C9H9ClO4/c1-13-6-3-5(4-11)7(10)9(14-2)8(6)12/h3-4,12H,1-2H3"
8028,water,-14.63,1.16,C10H16O,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3/t8-,9-/m1/s1"
8029,water,-22.58,1.23,C10H16O,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h4,9-11H,1,5-6H2,2-3H3/t9-,10+/m1/s1"
8030,water,-18.92,1.36,C10H14O,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7,10H,1,4-6H2,2H3/t10-/m1/s1"
8031,water,-19.48,1.35,C10H16O,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h6-7,9H,4-5H2,1-3H3/t9-/m0/s1"
8033,water,-13.37,1.25,C10H18O,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1"
8035,water,-13.32,0.73,C14H12,"InChI=1S/C14H12/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-8H,9-10H2"
8036,water,-6.18,0.91,C14H12,"InChI=1S/C14H12/c1-12(13-8-4-2-5-9-13)14-10-6-3-7-11-14/h2-11H,1H2"
8037,water,-44.65,1.13,C10H10N2,"InChI=1S/C10H11N2/c1-2-4-10(5-3-1)8-12-7-6-11-9-12/h1-6,9H,7-8H2"
8039,water,-38.92,0.85,C17H21NO,"InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3"
8040,water,-26.82,0.91,C20H23N,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3"
8083,water,-50.12,1.3,C14H9NO2,"InChI=1S/C14H9NO2/c15-8-5-6-11-12(7-8)14(17)10-4-2-1-3-9(10)13(11)16/h1-7H,15H2"
8542,water,-19.72,0.9,C7H9N,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3"
8542,hexane,-22.53,0.71,C7H9N,"InChI=1S/C7H9N/c1-6-4-2-3-5-7(6)8/h2-5H,8H2,1H3"
8553,water,-63.85,1.44,C14H10N2O2,"InChI=1S/C14H10N2O2/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6H,15-16H2"
8596,water,-16.41,0.96,C5H11NO2,"InChI=1S/C5H11NO2/c1-2-3-4-5-6(7)8/h2-5H2,1H3"
9025,water,5.35,0.88,CHF3,"InChI=1S/CHF3/c2-1(3)4/h1H"
9378,water,-15.54,0.91,C5H8O,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2"
9378,hexane,-17.85,1.43,C5H8O,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2"
9380,water,-40.83,0.48,C3H7NO,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"
9380,hexane,-24.19,1.17,C3H7NO,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3"
9483,water,-14.15,0.83,C3H8S,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3"
9483,hexane,-15.44,1.17,C3H8S,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3"
9854,water,-52.29,1.34,C6H5NO3,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H"
10701,water,-8.13,1.4,C3H8O,"InChI=1S/C3H8O/c1-3-4-2/h3H2,1-2H3"
10889,water,-15.35,0.87,C6H10O,"InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2"
10897,water,-0.42,1.29,C10H14,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3"
11009,water,-19.37,1.22,C4H10O,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m0/s1"
11929,water,-31.39,0.68,C10H8O,"InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H"
12998,water,-0.37,1.2,C3H2ClF5O,"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H/t1-/m1/s1"
13683,water,-19.69,0.42,C8H10O,"InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3"
15607,water,-24.22,1.35,CH4O,"InChI=1S/CH4O/c1-2/h2H,1H3"
15607,hexane,-5.81,0.62,CH4O,"InChI=1S/CH4O/c1-2/h2H,1H3"
15610,water,8.59,0.39,CH4,"InChI=1S/CH4/h1H4"
15610,hexane,-0.03,0.53,CH4,"InChI=1S/CH4/h1H4"
16282,water,-37.26,0.88,C2H5NO,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)"
16283,water,1.43,1.36,C2H3Cl,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2"
16415,water,8.21,0.8,C4H12Si,"InChI=1S/C4H12Si/c1-5(2,3)4/h1-4H3"
16415,hexane,-16.07,1.12,C4H12Si,"InChI=1S/C4H12Si/c1-5(2,3)4/h1-4H3"
16574,water,-6.2,0.6,C12H12,"InChI=1S/C12H12/c1-9-3-5-11-6-4-10(2)8-12(11)7-9/h3-8H,1-2H3"
16772,water,-3.99,0.8,C9H10,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2"
16826,water,7.03,1.22,C4H8,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+"
16849,water,13.02,1.16,C7H16,"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3"
17011,water,-0.55,0.6,C11H16,"InChI=1S/C11H16/c1-2-3-5-8-11-9-6-4-7-10-11/h4,6-7,9-10H,2-3,5,8H2,1H3"
17012,water,1.2,1.32,C12H18,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3"
17023,water,-18.16,0.9,C8H11N,"InChI=1S/C8H11N/c1-2-9-8-6-4-3-5-7-8/h3-7,9H,2H2,1H3"
17117,water,-17.98,0.4,H2O,"InChI=1S/H2O/h1H2"
17117,hexane,3.77,0.35,H2O,"InChI=1S/H2O/h1H2"
17666,water,4.98,0.96,C6H12,"InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2"
17666,hexane,-17.73,0.69,C6H12,"InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2"
18185,water,-51.92,0.69,C16H14O3,"InChI=1S/C16H14O3/c17-15(10-11-16(18)19)14-8-6-13(7-9-14)12-4-2-1-3-5-12/h1-9H,10-11H2,(H,18,19)"
18851,water,-26.42,1.18,C9H12O,"InChI=1S/C9H12O/c1-2-3-8-4-6-9(10)7-5-8/h4-7,10H,2-3H2,1H3"
18951,water,-32.96,1.46,C8H8Cl3O3PS,"InChI=1S/C8H10Cl3O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4,15-16H,1-2H3"
18985,water,0.49,1.29,C2H2Cl2,"InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+"
18985,hexane,-14.78,1.21,C2H2Cl2,"InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+"
19001,water,-3.42,0.93,CH2ClF,"InChI=1S/CH2ClF/c2-1-3/h1H2"
19002,water,3.67,1.44,CHClF2,"InChI=1S/CHClF2/c2-1(3)4/h1H"
19008,water,-0.35,1.34,C2H2ClF3,"InChI=1S/C2H2ClF3/c3-1-2(4,5)6/h1H2"
19011,water,0.82,0.52,C3H2ClF5O,"InChI=1S/C3H2ClF5O/c4-1(3(7,8)9)10-2(5)6/h1-2H/t1-/m0/s1"
19014,water,-18.64,1.42,C4H8Cl2S,"InChI=1S/C4H8Cl2S/c5-1-3-7-4-2-6/h1-4H2"
19015,water,-0.32,0.96,C4H5F3O,"InChI=1S/C4H5F3O/c1-2-8-3-4(5,6)7/h2H,1,3H2"
19015,hexane,-22.88,1.4,C4H5F3O,"InChI=1S/C4H5F3O/c1-2-8-3-4(5,6)7/h2H,1,3H2"
19028,water,-9.59,1.46,C12H8Cl2,"InChI=1S/C12H8Cl2/c13-11-8-4-7-10(12(11)14)9-5-2-1-3-6-9/h1-8H"
19029,water,-10.69,1.5,C12H7Cl3,"InChI=1S/C12H7Cl3/c13-10-6-2-1-4-8(10)9-5-3-7-11(14)12(9)15/h1-7H"
19036,water,-1.66,0.86,CBrCl3,"InChI=1S/CBrCl3/c2-1(3,4)5"
19036,hexane,-28.15,1.04,CBrCl3,"InChI=1S/CBrCl3/c2-1(3,4)5"
19037,water,13.31,1.44,C2ClF5,"InChI=1S/C2ClF5/c3-1(4,5)2(6,7)8"
19038,water,-37.96,1.27,C7H3Br2NO,"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H"
19038,hexane,-50.84,0.87,C7H3Br2NO,"InChI=1S/C7H3Br2NO/c8-5-1-4(3-10)2-6(9)7(5)11/h1-2,11H"
19040,water,-52.9,1.4,C7H5Cl2NS,"InChI=1S/C7H5Cl2NS/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)"
19042,water,-34.09,1.42,C4H7Cl2O4P,"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3"
19043,water,-29.12,1.48,C10H13Cl2O3PS,"InChI=1S/C10H15Cl2O3PS/c1-3-13-16(17,14-4-2)15-10-6-5-8(11)7-9(10)12/h5-7,16-17H,3-4H2,1-2H3"
19044,water,-37.29,1.44,C9H12ClO4P,"InChI=1S/C9H12ClO4P/c1-12-15(11,13-2)14-9-7-5-3-4-6(7)8(9)10/h3,5-7H,4H2,1-2H3/t6-,7+/m0/s1"
19045,water,-38.29,1.21,C11H15BrClO3PS,"InChI=1S/C11H15BrClO3PS/c1-3-7-18-17(14,15-4-2)16-11-6-5-9(12)8-10(11)13/h5-6,8H,3-4,7H2,1-2H3/t17-/m1/s1"
19047,water,-33.46,1.37,C8H8BrCl2O3PS,"InChI=1S/C8H10BrCl2O3PS/c1-12-15(16,13-2)14-8-4-6(10)5(9)3-7(8)11/h3-4,15-16H,1-2H3"
19060,water,-39.35,1.36,C9H8Cl3NO2S,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6+"
19062,water,-21.26,1.48,C10H6Cl8,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3+,4-,5-,8-,9+/m0/s1"
19070,water,-38.69,1.18,C9H6Cl6O3S,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19-"
