ATB ID,solvent,value,error_estimate,formula,inchi
19071,water,-26.06,1.41,C12H8Cl6O,"InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6-,7+,10-,11+"
19073,water,-23.55,1.39,C6H6Cl6,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+"
19090,water,-47.43,1.41,C14H12ClNO2,"InChI=1S/C14H12ClNO2/c1-9-11(15)6-4-8-12(9)16-13-7-3-2-5-10(13)14(17)18/h2-8,16H,1H3,(H,17,18)"
19755,water,-22.72,1.19,C6H12O2,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"
19755,hexane,-23.18,0.79,C6H12O2,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)"
19762,water,-21.0,0.67,C4H9N,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2"
19765,water,-71.63,0.37,C6H7N5,"InChI=1S/C6H7N5/c1-11-3-10-4-5(7)8-2-9-6(4)11/h2-3H,7H2,1H3"
19783,water,-27.14,0.75,C5H10O2,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)"
19783,hexane,-20.79,1.28,C5H10O2,"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)"
19842,water,-24.74,0.97,C7H8O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
19842,hexane,-22.57,1.48,C7H8O,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
20584,water,-19.07,0.88,C10H18O,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+"
21337,water,-10.52,0.49,C2H6O,"InChI=1S/C2H6O/c1-3-2/h1-2H3"
21337,hexane,-13.62,0.92,C2H6O,"InChI=1S/C2H6O/c1-3-2/h1-2H3"
21614,water,-62.18,1.41,C8H8O3,"InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)"
21673,water,-30.63,0.99,C3H6N2O6,"InChI=1S/C3H6N2O6/c1-3(11-5(8)9)2-10-4(6)7/h3H,2H2,1H3/t3-/m0/s1"
21677,water,-90.93,1.21,C15H15ClN4O6S,"InChI=1S/C15H16ClN4O6S/c1-3-26-13(21)9-6-4-5-7-10(9)27(23,24)20-15(22)19-14-17-11(16)8-12(18-14)25-2/h4-7H,3,8H2,1-2H3,(H2,19,20,22)"
21679,water,-100.38,1.3,C14H15N5O6S,"InChI=1S/C14H15N5O6S/c1-8-15-12(18-14(16-8)25-3)17-13(21)19-26(22,23)10-7-5-4-6-9(10)11(20)24-2/h4-7H,1-3H3,(H2,17,19,21)"
21683,water,-65.97,1.32,C20H14N2O2,"InChI=1S/C20H14N2O2/c21-15-10-11-16(22-12-6-2-1-3-7-12)18-17(15)19(23)13-8-4-5-9-14(13)20(18)24/h1-11,22H,21H2"
21877,water,-19.96,1.08,C6H14O,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
21877,hexane,-21.06,1.42,C6H14O,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
21882,water,-80.56,1.02,C5H10O5,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5-/m1/s1"
22710,water,-24.36,0.8,C7H8O2,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3"
22965,water,-52.75,1.48,C9H8Cl2O4,"InChI=1S/C9H8Cl2O4/c1-14-8-5(10)4(3-12)6(11)9(15-2)7(8)13/h3,13H,1-2H3"
22975,water,-17.2,0.91,C8H8O,"InChI=1S/C8H8O/c1-7-4-2-3-5-8(7)6-9/h2-6H,1H3"
23274,water,10.35,1.09,C8H18,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
23274,hexane,-22.84,0.84,C8H18,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
24214,water,-6.01,0.44,C7H7Br,"InChI=1S/C7H7Br/c1-6-4-2-3-5-7(6)8/h2-5H,1H3"
24272,water,-102.45,1.46,C16H18N4O7S,"InChI=1S/C16H19N4O7S/c1-25-12-8-13(26-2)18-15(17-12)19-16(22)20-28(23,24)9-10-6-4-5-7-11(10)14(21)27-3/h4-7H,8-9H2,1-3H3,(H2,19,20,22)"
24510,water,-22.82,0.5,C8H10O2,"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3"
24879,water,-32.53,1.12,C13H18O2,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m0/s1"
25060,water,-44.86,1.14,C14H10F3NO2,"InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)"
25457,water,-7.39,0.67,C2H5I,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3"
25457,hexane,-22.07,1.31,C2H5I,"InChI=1S/C2H5I/c1-2-3/h2H2,1H3"
25458,water,-6.06,0.89,C3H7I,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3"
25458,hexane,-25.04,0.97,C3H7I,"InChI=1S/C3H7I/c1-2-3-4/h2-3H2,1H3"
25459,water,-13.41,0.86,CH2I2,"InChI=1S/CH2I2/c2-1-3/h1H2"
25459,hexane,-34.55,1.28,CH2I2,"InChI=1S/CH2I2/c2-1-3/h1H2"
25541,water,-12.25,1.06,C6H5I,"InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H"
25541,hexane,-32.82,1.38,C6H5I,"InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H"
25806,water,9.26,0.83,C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
25806,hexane,-11.08,1.42,C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
26135,water,-48.43,0.57,C14H9NO3,"InChI=1S/C14H9NO3/c15-9-5-6-10(16)12-11(9)13(17)7-3-1-2-4-8(7)14(12)18/h1-6,16H,15H2"
26244,water,-41.42,1.18,C7H6O2,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
26244,hexane,-25.75,1.14,C7H6O2,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
26246,water,11.91,0.98,C2F4,"InChI=1S/C2F4/c3-1(4)2(5)6"
26251,water,6.68,1.47,C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3-"
26261,water,-14.44,0.96,C6H12O,"InChI=1S/C6H12O/c1-5-3-4-6(2)7-5/h5-6H,3-4H2,1-2H3/t5-,6+"
26262,water,-6.22,1.4,C5H11I,"InChI=1S/C5H11I/c1-2-3-4-5-6/h2-5H2,1H3"
26262,hexane,-30.82,1.0,C5H11I,"InChI=1S/C5H11I/c1-2-3-4-5-6/h2-5H2,1H3"
26263,water,-6.11,0.8,C3H7I,"InChI=1S/C3H7I/c1-3(2)4/h3H,1-2H3"
26264,water,-8.61,1.4,CH3I,"InChI=1S/CH3I/c1-2/h1H3"
26264,hexane,-20.17,1.0,CH3I,"InChI=1S/CH3I/c1-2/h1H3"
26265,water,-6.67,0.88,C6H12O,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
26265,hexane,-16.3,0.7,C6H12O,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
26266,water,-10.05,1.26,C6H14S,"InChI=1S/C6H14S/c1-3-5-7-6-4-2/h3-6H2,1-2H3"
26266,hexane,-24.68,1.48,C6H14S,"InChI=1S/C6H14S/c1-3-5-7-6-4-2/h3-6H2,1-2H3"
26267,water,-5.08,0.67,C4H9I,"InChI=1S/C4H9I/c1-2-3-4-5/h2-4H2,1H3"
26267,hexane,-27.81,1.41,C4H9I,"InChI=1S/C4H9I/c1-2-3-4-5/h2-4H2,1H3"
26268,water,-47.7,1.24,C6H5NO3,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H"
26269,water,-18.13,0.95,C4H9NO2,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3"
26269,hexane,-24.54,1.33,C4H9NO2,"InChI=1S/C4H9NO2/c1-2-3-4-5(6)7/h2-4H2,1H3"
26272,water,-15.06,1.02,C3H6O2,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3"
26272,hexane,-17.46,1.27,C3H6O2,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3"
26273,water,-16.42,1.09,C2H4O2,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
26273,hexane,-15.38,1.01,C2H4O2,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3"
26274,water,-14.61,1.2,C4H8O2,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3"
26332,water,-21.47,1.07,C3H8O,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
26332,hexane,-11.6,1.21,C3H8O,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
26394,water,-25.03,1.37,C2H6O,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
26394,hexane,-7.81,0.91,C2H6O,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
27167,water,-25.87,1.19,C7H16O2,"InChI=1S/C7H16O2/c1-3-4-5-9-6-7(2)8/h7-8H,3-6H2,1-2H3/t7-/m0/s1"
27176,water,-61.92,0.99,C16H13NO3,"InChI=1S/C16H13NO3/c18-9-8-17-13-7-3-6-12-14(13)16(20)11-5-2-1-4-10(11)15(12)19/h1-7,17-18H,8-9H2"
27179,water,-21.64,1.03,C10H14O2,"InChI=1S/C10H14O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h5-7,11H,3-4H2,1-2H3"
27185,water,-28.29,0.96,C3H8O2,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3"
27254,water,-23.88,1.04,C3H9NO,"InChI=1S/C3H9NO/c1-5-3-2-4/h2-4H2,1H3"
27717,water,-9.03,0.43,C3H6O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
27717,hexane,-10.63,1.21,C3H6O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
28292,water,-8.64,1.39,C2H4Cl2,"InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2"
28601,water,11.89,1.39,C8H18,"InChI=1S/C8H18/c1-7(2,3)8(4,5)6/h1-6H3"
29182,water,-22.55,0.98,C6H6Cl6,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4-,5+,6+/m1/s1"
29201,water,-4.96,1.45,C6H13I,"InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3"
29202,water,-4.38,1.3,C7H15I,"InChI=1S/C7H15I/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
29203,water,-22.24,1.04,C6H5IO,"InChI=1S/C6H5IO/c7-5-3-1-2-4-6(5)8/h1-4,8H"
29204,water,-63.06,1.27,C4H3IN2O2,"InChI=1S/C4H3IN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
29254,water,-44.03,1.14,C15H15NO2,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)"
29352,water,-45.14,0.79,C10H13NO2,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)"
29376,water,-23.72,0.98,CH3NO2,"InChI=1S/CH3NO2/c1-2(3)4/h1H3"
29376,hexane,-16.78,0.97,CH3NO2,"InChI=1S/CH3NO2/c1-2(3)4/h1H3"
29377,water,-10.92,1.05,C8H10O,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
29377,hexane,-27.74,0.72,C8H10O,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
29378,water,-37.03,1.23,C6H15O4P,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3"
29378,hexane,-41.91,1.36,C6H15O4P,"InChI=1S/C6H15O4P/c1-4-8-11(7,9-5-2)10-6-3/h4-6H2,1-3H3"
29379,water,-41.51,1.17,C9H21O4P,"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3"
29379,hexane,-51.07,0.94,C9H21O4P,"InChI=1S/C9H21O4P/c1-4-7-11-14(10,12-8-5-2)13-9-6-3/h4-9H2,1-3H3"
30139,water,-31.78,1.25,C2H8N2,"InChI=1S/C2H8N2/c1-4(2)3/h3H2,1-2H3"
30173,water,2.3,1.13,C8H4F6,"InChI=1S/C8H4F6/c9-7(10,11)5-3-1-2-4-6(5)8(12,13)14/h1-4H"
30180,water,-20.05,0.66,C3H5ClO2,"InChI=1S/C3H5ClO2/c1-6-3(5)2-4/h2H2,1H3"
30182,water,-19.29,1.07,CH3ClO2S,"InChI=1S/CH3ClO2S/c1-5(2,3)4/h1H3"
30183,water,9.25,1.26,C8H18,"InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3"
30184,water,3.01,0.91,C2HBrF4,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H/t1-/m0/s1"
30185,water,-30.49,1.34,C8H14O4,"InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3"
30187,water,-12.33,1.43,C8H16O2,"InChI=1S/C8H16O2/c1-3-5-6-7-8(9)10-4-2/h3-7H2,1-2H3"
30188,water,-58.8,1.21,C9H10N2O3,"InChI=1S/C9H10N2O3/c1-10(2)9(12)7-3-5-8(6-4-7)11(13)14/h3-6H,1-2H3"
30189,water,10.87,0.9,C7H16,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3"
30190,water,-12.91,1.33,C8H14O2,"InChI=1S/C8H14O2/c1-10-8(9)7-5-3-2-4-6-7/h7H,2-6H2,1H3"
30192,water,-21.86,0.84,C5H9N,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3"
30193,water,-28.07,1.41,C9H10O2,"InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3"
30194,water,7.2,0.87,C8H16,"InChI=1S/C8H16/c1-7-3-5-8(2)6-4-7/h7-8H,3-6H2,1-2H3/t7-,8-"
30195,water,-33.5,1.39,C10H6Cl8,"InChI=1S/C10H6Cl8/c11-2-1-3(12)5-4(2)8(15)6(13)7(14)9(5,16)10(8,17)18/h2-5H,1H2/t2-,3+,4-,5+,8+,9-"
30196,water,-14.97,1.01,C6H14O,"InChI=1S/C6H14O/c1-4-6(7)5(2)3/h5-7H,4H2,1-3H3/t6-/m1/s1"
30197,water,-8.71,1.28,C8H16O2,"InChI=1S/C8H16O2/c1-6(2)5-10-8(9)7(3)4/h6-7H,5H2,1-4H3"
30198,water,-6.37,1.32,C6H12O2,"InChI=1S/C6H12O2/c1-6(2,3)5(7)8-4/h1-4H3"
30199,water,9.86,1.02,C7H16,"InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3"
30200,water,-32.66,1.25,C6H13NO,"InChI=1S/C6H13NO/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H2,7,8)"
30201,water,10.86,0.94,C8H18,"InChI=1S/C8H18/c1-4-6-7-8(3)5-2/h8H,4-7H2,1-3H3/t8-/m0/s1"
30202,water,8.78,0.92,C6H14,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3"
30203,water,-27.3,0.99,C8H10O,"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3"
30204,water,-18.26,1.44,C6H14O,"InChI=1S/C6H14O/c1-3-5-6(7)4-2/h6-7H,3-5H2,1-2H3/t6-/m0/s1"
30205,water,-22.41,0.92,C8H10O,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3"
30206,water,-8.42,1.08,C3H4Cl2F2O,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3"
30206,hexane,-27.1,0.98,C3H4Cl2F2O,"InChI=1S/C3H4Cl2F2O/c1-8-3(6,7)2(4)5/h2H,1H3"
30207,water,-34.39,1.4,C6H14O4,"InChI=1S/C6H14O4/c1-7-5-6(8-2,9-3)10-4/h5H2,1-4H3"
30208,water,-40.8,0.98,C6H6N2O2,"InChI=1S/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2"
30209,water,-23.6,1.04,C8H10O,"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3"
30210,water,-51.75,1.06,C10H19O6PS2,"InChI=1S/C10H21O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8,17-18H,5-7H2,1-4H3/t8-/m1/s1"
30211,water,-26.71,1.09,C7H7ClO,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3"
30212,water,-26.33,0.88,C6H5NO,"InChI=1S/C6H6NO/c8-5-6-1-3-7-4-2-6/h1,3-5H,2H2"
30214,water,-11.2,1.32,C4H9NO3,"InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3/t4-/m0/s1"
30215,water,-43.28,1.18,C9H22O4P2S4,"InChI=1S/C9H26O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h14-17H,5-9H2,1-4H3"
30216,water,-15.59,1.06,C4H10S,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3"
30217,water,-22.85,1.14,C5H12O3,"InChI=1S/C5H12O3/c1-5(6-2,7-3)8-4/h1-4H3"
30218,water,10.12,0.81,C7H16,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3/t7-/m1/s1"
30219,water,-7.62,1.48,C10H20O,"InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3"
30220,water,-0.69,1.0,C9H12,"InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3"
30221,water,-11.52,1.33,C6H15N,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3"
30223,water,-0.76,0.9,C9H10,"InChI=1S/C9H10/c1-8(2)9-6-4-3-5-7-9/h3-7H,1H2,2H3"
30224,water,-29.5,0.85,C2H6O3S,"InChI=1S/C2H8O3S/c1-5-6(2,3)4/h3-4H,1-2H3"
30225,water,-29.04,0.88,C6H5NO,"InChI=1S/C6H6NO/c8-5-6-2-1-3-7-4-6/h1-6H"
30226,water,-20.04,1.25,C5H4ClN,"InChI=1S/C5H5ClN/c6-5-3-1-2-4-7-5/h1-2,4H,3H2"
30227,water,-21.12,1.42,C6H6ClN,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2"
30228,water,-18.23,1.16,C8H11N,"InChI=1S/C8H11N/c1-6-4-3-5-7(2)8(6)9/h3-5H,9H2,1-2H3"
30230,water,-37.48,1.4,C4H5NO2,"InChI=1S/C4H5NO2/c1-7-4(6)2-3-5/h2H2,1H3"
30231,water,-26.74,1.08,C6H5ClO,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H"
30232,water,-13.8,0.84,C9H10F3N,"InChI=1S/C9H10F3N/c1-13(7-9(10,11)12)8-5-3-2-4-6-8/h2-6H,7H2,1H3"
30233,water,-31.94,1.39,C9H10O3,"InChI=1S/C9H10O3/c1-11-8-5-3-7(4-6-8)9(10)12-2/h3-6H,1-2H3"
30234,water,-26.86,1.36,C10H14O3,"InChI=1S/C10H14O3/c1-11-10(12-2,13-3)9-7-5-4-6-8-9/h4-8H,1-3H3"
30235,water,-45.69,1.28,C7H14N2O2S,"InChI=1S/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5-"
30236,water,-13.28,1.27,C8H14O,"InChI=1S/C8H14O/c1-7(9)8-5-3-2-4-6-8/h8H,2-6H2,1H3"
30237,water,-15.54,0.91,C5H8O2,"InChI=1S/C5H8O2/c1-7-5(6)4-2-3-4/h4H,2-3H2,1H3"
30238,water,-40.31,1.29,C5H11ClO3,"InChI=1S/C5H11ClO3/c1-7-5(4-6,8-2)9-3/h4H2,1-3H3"
30239,water,-11.03,1.34,C5H8O,"InChI=1S/C5H8O/c1-4(6)5-2-3-5/h5H,2-3H2,1H3"
30240,water,-25.4,1.14,C8H10O,"InChI=1S/C8H10O/c1-2-7-4-3-5-8(9)6-7/h3-6,9H,2H2,1H3"
30241,water,-8.88,1.36,C12H10,"InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2"
30242,water,-6.55,1.03,C3H3F3O2,"InChI=1S/C3H3F3O2/c1-8-2(7)3(4,5)6/h1H3"
30243,water,-20.36,0.91,C8H10O,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3"
30244,water,-24.67,1.05,C8H10O,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3"
30245,water,-10.61,0.93,C6H12O,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3"
