ATB ID,solvent,value,reported_error,ref,datasets,formula,inchi
1741,water,-84.94,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C15H16N4O5S,"InChI=1S/C15H17N4O5S/c1-9-8-10(2)17-14(16-9)18-15(21)19-25(22,23)12-7-5-4-6-11(12)13(20)24-3/h4-7H,8H2,1-3H3,(H2,18,19,21)"
1854,water,-66.23,5.1,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C4H3ClN2O2,"InChI=1S/C4H3ClN2O2/c5-2-1-3(8)7-4(9)6-2/h1H,(H2,6,7,8,9)"
1867,water,-9.75,4.85,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C6Cl6,"InChI=1S/C6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9"
1910,water,-8.79,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.,Mobley et al.",C4H9NO3,"InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3"
1913,water,-34.31,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C2H5NO4,"InChI=1S/C2H5NO4/c4-1-2-7-3(5)6/h4H,1-2H2"
1915,water,-32.22,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C9H17N5S,"InChI=1S/C9H17N5S/c1-5-10-7-12-8(11-6(2)3)14-9(13-7)15-4/h6,10-11H,5H2,1-4H3"
1917,water,-14.69,8.08,10.1021/jp806724u,"SAMPL1,Marenich et al.,Mobley et al.",C13H16F3N3O4,"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3"
1918,water,-41.0,8.0,10.1021/jp806724u,"SAMPL1",C9H13BrN2O2,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)/t5-/m1/s1"
1919,water,-37.7,8.08,10.1021/jp806724u,"Mobley et al.,SAMPL1",C9H8Cl3NO2S,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6-/m1/s1"
1920,water,-39.75,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1,Mobley et al.",C12H11NO2,"InChI=1S/C12H11NO2/c1-13-12(14)15-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3,(H,13,14)"
1925,water,-6.28,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",CCl3NO2,"InChI=1S/CCl3NO2/c2-1(3,4)5(6)7"
1928,water,-41.42,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1,Mobley et al.",C8H6Cl2O3,"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)"
1929,water,-19.71,8.08,10.1021/jp806724u,"Marenich et al.,Mobley et al.,SAMPL1",C7H3Cl2N,"InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H"
1933,water,-10.88,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Mobley et al.,Marenich et al.",C10H5Cl7,"InChI=1S/C10H5Cl7/c11-4-2-1-3-5(4)9(15)7(13)6(12)8(3,14)10(9,16)17/h1-5H/t3-,4-,5-,8-,9+/m0/s1"
1934,water,-21.76,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.,Mobley et al.",C9H14O,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3"
1938,water,-33.47,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C13H19N3O6S,"InChI=1S/C13H19N3O6S/c1-4-6-14(7-5-2)13-11(15(17)18)8-10(23(3,21)22)9-12(13)16(19)20/h8-9H,4-7H2,1-3H3"
1939,water,-25.1,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,SAMPL1,Marenich et al.",C3H5NO4,"InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3"
1940,water,-43.0,8.0,10.1021/jp806724u,"SAMPL1",C7H13N3O3S,"InChI=1S/C7H13N3O3S/c1-8-7(12)13-9-5(14-4)6(11)10(2)3/h1-4H3,(H,8,12)/b9-5-"
1941,water,-28.03,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C10H14NO5PS,"InChI=1S/C10H16NO5PS/c1-3-14-17(18,15-4-2)16-10-7-5-9(6-8-10)11(12)13/h5-8,17-18H,3-4H2,1-2H3"
1942,water,-15.23,8.08,10.1021/jp806724u,"Mobley et al.,SAMPL1,Marenich et al.",C10H21NOS,"InChI=1S/C10H21NOS/c1-4-7-8-11(6-3)10(12)13-9-5-2/h4-9H2,1-3H3"
1945,water,-35.15,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1",C10H19N5S,"InChI=1S/C10H19N5S/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7,11-12H,1-5H3"
1947,water,-68.74,8.08,10.1021/jp806724u,"Marenich et al.,Mobley et al.,SAMPL1",C10H8ClN3O,"InChI=1S/C10H8ClN3O/c11-9-8(12)6-13-14(10(9)15)7-4-2-1-3-5-7/h1-6H,12H2"
1952,water,-68.0,8.0,10.1021/jp806724u,"SAMPL1",C11H11N5O6S2,"InChI=1S/C11H11N5O6S2/c1-5-12-9(15-11(13-5)22-2)14-10(19)16-24(20,21)6-3-4-23-7(6)8(17)18/h3-4H,1-2H3,(H,17,18)(H2,14,16,19)"
1956,water,-37.24,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.",C14H12N4O2,"InChI=1S/C14H12N4O2/c15-5-1-2-6(16)10-9(5)13(19)11-7(17)3-4-8(18)12(11)14(10)20/h1-4H,15-18H2"
1959,water,-39.37,8.08,10.1021/jp806724u,"SAMPL1,Mobley et al.,Marenich et al.",C11H18N4O2,"InChI=1S/C11H19N4O2/c1-7-8(2)12-10(14(3)4)13-9(7)17-11(16)15(5)6/h7H,1-6H3"
1962,water,-26.07,8.08,10.1021/jp806724u,"SAMPL1,Marenich et al.,Mobley et al.",C10H12N2O5,"InChI=1S/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3/t6-/m1/s1"
1984,water,-31.0,8.0,10.1021/jp806724u,"SAMPL1",C20H13BrN2O2,"InChI=1S/C20H13BrN2O2/c21-14-10-15(23-11-6-2-1-3-7-11)16-17(18(14)22)20(25)13-9-5-4-8-12(13)19(16)24/h1-10,23H,22H2"
2810,water,-14.56,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12H6Cl4,"InChI=1S/C12H6Cl4/c13-9-6-8(7-4-2-1-3-5-7)10(14)12(16)11(9)15/h1-6H"
2819,water,-12.47,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12Cl10,"InChI=1S/C12Cl10/c13-3-1(4(14)8(18)11(21)7(3)17)2-5(15)9(19)12(22)10(20)6(2)16"
2828,water,-16.07,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12H4Cl4O2,"InChI=1S/C12H4Cl4O2/c13-5-1-2-7-8(3-5)17-9-4-6(14)10(15)11(16)12(9)18-7/h1-4H"
2829,water,-14.1,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12H4Cl4O2,"InChI=1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H"
2830,water,-17.36,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12H3Cl5O2,"InChI=1S/C12H3Cl5O2/c13-4-1-2-5-6(3-4)19-12-10(17)8(15)7(14)9(16)11(12)18-5/h1-3H"
2831,water,-15.52,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12H2Cl6O2,"InChI=1S/C12H2Cl6O2/c13-3-1-5-6(2-4(3)14)20-12-10(18)8(16)7(15)9(17)11(12)19-5/h1-2H"
2832,water,-18.95,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12Cl8O2,"InChI=1S/C12Cl8O2/c13-1-2(14)6(18)10-9(5(1)17)21-11-7(19)3(15)4(16)8(20)12(11)22-10"
2925,water,-32.64,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Mobley et al.,Marenich et al.",C9H9Cl2NO,"InChI=1S/C9H9Cl2NO/c1-2-9(13)12-6-3-4-7(10)8(11)5-6/h3-5H,2H2,1H3,(H,12,13)"
2928,water,-33.47,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C14H9NO2,"InChI=1S/C14H9NO2/c15-11-7-3-6-10-12(11)14(17)9-5-2-1-4-8(9)13(10)16/h1-7H,15H2"
2966,water,-46.86,4.18,http://comp.chem.umn.edu/mnsol/,"",C12H10N4O2,"InChI=1S/C12H12N4O2/c13-9-1-3-10(4-2-9)14-15-11-5-7-12(8-6-11)16(17)18/h1-8,14-15H,13H2"
2968,water,-41.97,5.73,10.1021/jp806724u,"Marenich et al.,SAMPL1,Mobley et al.",C10H12N3O3PS2,"InChI=1S/C10H16N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6,8,12,17-18H,7H2,1-2H3"
3856,water,-14.9,4.18,10.1007/s10822-012-9568-8,"Mobley et al.",C12H6Cl2O2,"InChI=1S/C12H6Cl2O2/c13-7-5-11-12(6-8(7)14)16-10-4-2-1-3-9(10)15-11/h1-6H"
4982,water,-62.05,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)"
6548,water,-26.36,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C14H11Cl2NO2,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)"
18185,water,-53.35,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C16H14O3,"InChI=1S/C16H14O3/c17-15(10-11-16(18)19)14-8-6-13(7-9-14)12-4-2-1-3-5-12/h1-9H,10-11H2,(H,18,19)"
19060,water,-37.66,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C9H8Cl3NO2S,"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2/t5-,6+"
19062,water,-14.23,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C10H6Cl8,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3+,4-,5-,8-,9+/m0/s1"
19070,water,-17.57,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.",C9H6Cl6O3S,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19-"
19071,water,-23.01,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.",C12H8Cl6O,"InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6-,7+,10-,11+"
19073,water,-22.59,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C6H6Cl6,"InChI=1S/C6H6Cl6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-6H/t1-,2-,3-,4+,5+,6+"
19090,water,-28.07,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C14H12ClNO2,"InChI=1S/C14H12ClNO2/c1-9-11(15)6-4-8-12(9)16-13-7-3-2-5-10(13)14(17)18/h2-8,16H,1H3,(H,17,18)"
21614,water,-43.18,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C8H8O3,"InChI=1S/C8H8O3/c1-11-7-5-3-2-4-6(7)8(9)10/h2-5H,1H3,(H,9,10)"
21673,water,-20.92,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.,SAMPL1",C3H6N2O6,"InChI=1S/C3H6N2O6/c1-3(11-5(8)9)2-10-4(6)7/h3H,2H2,1H3/t3-/m0/s1"
21677,water,-58.58,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C15H15ClN4O6S,"InChI=1S/C15H16ClN4O6S/c1-3-26-13(21)9-6-4-5-7-10(9)27(23,24)20-15(22)19-14-17-11(16)8-12(18-14)25-2/h4-7H,3,8H2,1-2H3,(H2,19,20,22)"
21679,water,-64.85,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C14H15N5O6S,"InChI=1S/C14H15N5O6S/c1-8-15-12(18-14(16-8)25-3)17-13(21)19-26(22,23)10-7-5-4-6-9(10)11(20)24-2/h4-7H,1-3H3,(H2,17,19,21)"
21683,water,-30.96,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C20H14N2O2,"InChI=1S/C20H14N2O2/c21-15-10-11-16(22-12-6-2-1-3-7-12)18-17(15)19(23)13-8-4-5-9-14(13)20(18)24/h1-11,22H,21H2"
24272,water,-71.96,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C16H18N4O7S,"InChI=1S/C16H19N4O7S/c1-25-12-8-13(26-2)18-15(17-12)19-16(22)20-28(23,24)9-10-6-4-5-7-11(10)14(21)27-3/h4-7H,8-9H2,1-3H3,(H2,19,20,22)"
25060,water,-23.77,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C14H10F3NO2,"InChI=1S/C14H10F3NO2/c15-14(16,17)9-4-3-5-10(8-9)18-12-7-2-1-6-11(12)13(19)20/h1-8,18H,(H,19,20)"
26244,water,-39.83,7.95,10.1021/ct050097l,"Dodda et al.,Shivakumar et al.,Gerber,Mobley et al.,Marenich et al.",C7H6O2,"InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
27176,water,-59.45,4.6,10.1007/s10822-014-9738-y,"Mobley et al.",C16H13NO3,"InChI=1S/C16H13NO3/c18-9-8-17-13-7-3-6-12-14(13)16(20)11-5-2-1-4-10(11)15(12)19/h1-7,17-18H,8-9H2"
29352,water,-45.65,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C10H13NO2,"InChI=1S/C10H13NO2/c1-3-13-10-6-4-9(5-7-10)11-8(2)12/h4-7H,3H2,1-2H3,(H,11,12)"
30210,water,-34.31,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.",C10H19O6PS2,"InChI=1S/C10H21O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8,17-18H,5-7H2,1-4H3/t8-/m1/s1"
30215,water,-25.52,5.73,10.1021/jp806724u,"Marenich et al.,Mobley et al.",C9H22O4P2S4,"InChI=1S/C9H26O4P2S4/c1-5-10-14(16,11-6-2)18-9-19-15(17,12-7-3)13-8-4/h14-17H,5-9H2,1-4H3"
30235,water,-41.0,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C7H14N2O2S,"InChI=1S/C7H14N2O2S/c1-7(2,12-4)5-9-11-6(10)8-3/h5H,1-4H3,(H,8,10)/b9-5-"
30248,water,-42.68,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C7H12ClN5,"InChI=1S/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h9-10H,3-4H2,1-2H3"
30261,water,-28.03,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C10H19N5S,"InChI=1S/C10H19N5S/c1-6-11-7-12-8(15-10(2,3)4)14-9(13-7)16-5/h11,15H,6H2,1-5H3"
30308,water,-29.71,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.,SAMPL1",C12H14Cl3O4P,"InChI=1S/C12H14Cl3O4P/c1-3-17-20(16,18-4-2)19-12(8-13)10-6-5-9(14)7-11(10)15/h5-8H,3-4H2,1-2H3/b12-8+"
30315,water,-53.14,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.",C4H8Cl3O4P,"InChI=1S/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3/t3-/m1/s1"
30318,water,-27.2,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C11H16ClO2PS3,"InChI=1S/C11H18ClO2PS3/c1-3-13-15(16,14-4-2)18-9-17-11-7-5-10(12)6-8-11/h5-8,15-16H,3-4,9H2,1-2H3"
30326,water,-18.41,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,SAMPL1,Marenich et al.",C7H17O2PS3,"InChI=1S/C7H19O2PS3/c1-4-8-10(11,9-5-2)13-7-12-6-3/h10-11H,4-7H2,1-3H3"
30349,water,-27.2,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C12H21N2O3PS,"InChI=1S/C12H24N2O3PS/c1-6-15-18(19,16-7-2)17-11-8-10(5)13-12(14-11)9(3)4/h9,18-19H,6-8H2,1-5H3"
30352,water,-34.31,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,SAMPL1,Marenich et al.",C14H20ClNO2,"InChI=1S/C14H20ClNO2/c1-4-11-7-6-8-12(5-2)14(11)16(10-18-3)13(17)9-15/h6-8H,4-5,9-10H2,1-3H3"
30353,water,-24.02,8.08,10.1021/jp806724u,"SAMPL1,Mobley et al.,Marenich et al.",C14H17ClNO4PS2,"InChI=1S/C14H19ClNO4PS2/c1-3-19-21(22,20-4-2)23-12(9-15)16-13(17)10-7-5-6-8-11(10)14(16)18/h5-8,12,21-22H,3-4,9H2,1-2H3/t12-/m0/s1"
30372,water,-23.85,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.,SAMPL1",C2H4N2O6,"InChI=1S/C2H4N2O6/c5-3(6)9-1-2-10-4(7)8/h1-2H2"
30373,water,-13.81,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.,SAMPL1",C13H16F3N3O4,"InChI=1S/C13H16F3N3O4/c1-3-5-17(6-4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3"
30381,water,-7.95,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.,Mobley et al.",C4H9NO3,"InChI=1S/C4H9NO3/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3"
30388,water,-10.46,4.18,http://comp.chem.umn.edu/mnsol/,"SAMPL1,Marenich et al.,Mobley et al.",C14H16F3N3O4,"InChI=1S/C14H16F3N3O4/c1-2-5-18(8-9-3-4-9)13-11(19(21)22)6-10(14(15,16)17)7-12(13)20(23)24/h6-7,9H,2-5,8H2,1H3"
30397,water,-40.17,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C12H15NO3,"InChI=1S/C12H15NO3/c1-12(2)7-8-5-4-6-9(10(8)16-12)15-11(14)13-3/h4-6H,7H2,1-3H3,(H,13,14)"
30435,water,-23.85,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C11H13F3N4O4,"InChI=1S/C11H13F3N4O4/c1-3-16(4-2)9-7(17(19)20)5-6(11(12,13)14)8(15)10(9)18(21)22/h5H,3-4,15H2,1-2H3"
30437,water,-46.61,8.08,10.1021/jp806724u,"SAMPL1,Marenich et al.,Mobley et al.",C9H13ClN2O2,"InChI=1S/C9H13ClN2O2/c1-5-6(10)7(13)12(8(14)11-5)9(2,3)4/h1-4H3,(H,11,14)"
30471,water,-17.15,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,SAMPL1,Mobley et al.",C10H21NOS,"InChI=1S/C10H21NOS/c1-4-7-11(8-5-2)10(12)13-9-6-3/h4-9H2,1-3H3"
30501,water,-38.2,8.08,10.1021/jp806724u,"Mobley et al.,Marenich et al.,SAMPL1",C9H12N2O,"InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)"
30547,water,-58.28,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-3-2-4-8(11)5-7/h2-5,11H,1H3,(H,9,10)"
30561,water,-37.36,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C8H8O3,"InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-7)8(9)10/h2-5H,1H3,(H,9,10)"
30612,water,-67.78,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C12H13N5O6S2,"InChI=1S/C12H13N5O6S2/c1-6-13-10(16-12(14-6)23-3)15-11(19)17-25(20,21)7-4-5-24-8(7)9(18)22-2/h4-5H,1-3H3,(H2,15,17,19)"
30652,water,-38.28,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C8H8O3,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)"
30887,water,-56.19,4.18,10.1007/s10822-010-9350-8,"Mobley et al.,Gerber",C3H8O3,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2"
46916,water,-20.92,4.18,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,SAMPL1",C9H11Cl3NO3PS,"InChI=1S/C9H14Cl3NO3PS/c1-3-14-17(18,15-4-2)16-9-7(11)5-6(10)8(12)13-9/h5-6,17-18H,3-4H2,1-2H3"
48906,water,-53.0,8.0,10.1021/jp806724u,"SAMPL1",C4H8Cl3O4P,"InChI=1S/C4H8Cl3O4P/c1-10-12(9,11-2)3(8)4(5,6)7/h3,8H,1-2H3/t3-/m0/s1"
121093,water,-40.71,8.08,10.1021/jp806724u,"Marenich et al.,Mobley et al.",C9H13BrN2O2,"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)/t5-/m0/s1"
302813,water,-48.58,4.18,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C8H9NO2,"InChI=1S/C8H9NO2/c1-6(10)9-7-4-2-3-5-8(7)11/h2-5,11H,1H3,(H,9,10)"